"Marca temporal","¿Cuántos años tienes?","Has jugado alguna vez a algún videojuego?","¿Con qué frecuencia juegas videojuegos en tu dispositivo móvil?","¿Qué géneros de videojuegos prefieres jugar en tu dispositivo móvil?","¿Crees que los videojuegos en plataformas móviles son tan adictivos como los videojuegos en otras plataformas (por ejemplo, consolas de juegos, PC)?","¿Alguna vez has gastado dinero en compras dentro de un videojuego en tu dispositivo móvil?","¿Has jugado alguna vez a Pokemon GO?","Si has jugado a Pokemon GO, ¿qué característica te parecía mas atractiva?"
"2023/02/22 5:21:20 p. m. CET","24","Sí","Alguna vez","Estilo Pokemon Go","Si","Si","Si","Caminar para conseguir los objetivos"
"2023/02/22 5:25:53 p. m. CET","16","Sí","Habitualmente","Estilo Clash Royale","No","Si","Si","Batallas entre criaturas"
